city,date,demand_mean,demand_min,demand_max,demand_sum,demand_std,temperature_mean,temperature_min,temperature_max,temperature_std,humidity_mean,humidity_min,humidity_max,windSpeed_mean,windSpeed_max
dallas,2018-07-23,16168.4125,12803.43,22961.59,64673.65,4788.787975304922,95.6725,84.24,107.19,10.379471325650455,36.75,19.0,52.0,4.6175,5.11
dallas,2018-07-24,16020.756666666668,12803.43,22455.41,48062.270000000004,5572.573251212884,94.33999999999999,87.51,102.3,7.459470490591135,33.333333333333336,28.999999999999996,40.0,9.453333333333333,11.77
dallas,2018-07-25,17783.75333333333,14184.25,24526.26,53351.259999999995,5843.641431079879,89.16333333333334,77.74,98.22,10.443104583088953,43.333333333333336,28.999999999999996,64.0,4.4366666666666665,8.83
dallas,2018-07-27,14051.07,12803.43,15298.71,28102.14,1764.4294089591676,89.35,85.52,93.18,5.4164379438889565,37.5,33.0,42.0,4.15,4.42
dallas,2018-07-29,17491.063333333335,12803.43,21050.98,52473.19,4237.844842704051,92.50999999999999,85.66,96.68,5.978871130907575,42.666666666666664,32.0,56.00000000000001,7.216666666666666,9.63
dallas,2018-07-30,16000.32,16000.32,16000.32,16000.32,,83.05,83.05,83.05,,61.0,61.0,61.0,7.66,7.66
dallas,2018-08-01,12803.43,12803.43,12803.43,25606.86,0.0,87.13,83.91,90.35,4.553767670841364,34.5,30.0,39.0,8.645,11.13
dallas,2018-08-02,12222.52,11641.61,12803.43,24445.04,821.5308005181545,91.28,89.97,92.59,1.8526197667087578,29.0,27.0,31.0,5.08,5.22
dallas,2018-08-03,15333.9925,12803.43,22565.87,61335.97,4824.2343684110465,86.23,74.79,93.47,8.002316331329736,35.25,28.999999999999996,52.0,5.8,7.08
dallas,2018-08-04,12725.96,12648.49,12803.43,25451.92,109.55912467704468,91.265,85.8,96.73,7.728677118368969,26.5,22.0,31.0,8.085,10.09
dallas,2018-08-06,16096.94,12803.43,19390.45,32193.88,4657.726509811412,87.01,83.43,90.59,5.062884553295678,51.5,45.0,57.99999999999999,6.68,7.43
